1,Toy Story

71,The Lion King

95,Aladdin

99,Snow White and the Seven Dwarfs

101,Heavy Metal

102,The AristoCats

103,All Dogs Go to Heaven 2

114,Wallace

169,The Wrong Trousers

189,A Grand Day Out

206,Akira

240,Beavis and Butt-Head Do America

404,Pinocchio

408,Close Shave

418,Cinderella

420,Alice in Wonderland

422,Aladdin and the King of Thieves

426,The Transformers: The Movie

432,Fantasia

473,James and the Giant Peach

501,Dumbo

538,Anastasia

542,Pocahontas

588,Beauty and the Beast

596,Hunchback of Notre Dame

624,The Three Caballeros

625,The Sword in the Stone

820,Space Jam

946,The Fox and the Hound

969,Winnie the Pooh and the Blustery Day

989,Cats Don't Dance

993,Hercules

1066,Balto

1076,The Pagemaster

1078,Oliver

1091,Pete's Dragon

1219,A Goofy Movie

1240,Ghost in the Shell

1367,Faust

1409,The Swan Princess

1412,The Land Before Time III: The Time of the Great Giving

1470,Gumby: The Movie


