5,Copycat

11,Seven Pounds

12,The Usual Suspects

17,From Dusk Till Dawn

24,Rumble in the Bronx

29,Batman Forever

39,Strange Days

55,Léon: The Professional

56,Pulp Fiction

72,Mask

76,Carlito's Way

92,True Romance

100,Fargo

120,Striptease

127,Godfather

129,Bound

130,Kansas City

156,Reservoir Dogs

182,Goodfellas

187,The Godfather: Part II

194,Sting

231,Batman Returns

239,Sneakers

248,Grosse Pointe Blank

254,Batman

273,Heat

293,Donnie Brasco

299,Hoodlum

302,L.A. Confidential

307,Devil's Advocate

309,Deceiver

312,Midnight in the Garden of Good and Evil

327,Cop Land

329,Desperate Measures

332,Kiss the Girls

334,U Turn

336,Playing God

346,Jackie Brown

348,Desperate Measures

361,Incognito

396,Serial Mom

403,Batman

482,Some Like It Hot

504,Bonnie and Clyde

544,Things to Do in Denver When You're Dead

547,The Young Poisoner's Handbook

576,Cliffhanger

583,Romeo Is Bleeding

611,Laura

628,Sleepers

642,Grifters

649,Once Upon a Time in America

653,Touch of Evil

656,M

754,Red Corner

770,Devil in a Blue Dress

802,Hard Target

806,Menace II Society

823,Mulholland Falls

844,Freeway

902,The Big Lebowski

911,Twilight

914,Wild Things

991,Keys to Tulsa

1011,2 Days in the Valley

1064,Crossfire

1069,Amateur

1081,Curdled

1083,Albino Alligator

1104,Man Bites Dog

1106,The Newton Boys

1122,They Made Me a Criminal

1138,Best Men

1139,Hackers

1143,Hard Eight

1151,Original Gangstas

1156,Cyclo

1187,Switchblade Sisters

1191,A Letter from Death Row

1194,Once Were Warriors

1198,Purple Noon

1208,Kiss of Death

1213,Guilty as Sin

1226,Night Falls on Manhattan

1235,The Big Bang Theory

1245,Gridlock'd

1277,Set It Off

1280,Gang Related

1304,New York Cop

1390,The Innocent Sleep

1439,Jason's Lyric

1453,Angel on My Shoulder

1462,Thieves

1478,Dead Presidents

1496,Carpool

1505,Killer: A Journal of Murder

1510,Mad Dog Time

1519,New Jersey Drive

1534,Twin Town

1560,Clean Slate

1586,Hard Boiled

1598,City of Industry

1604,He Walked by Night

1606,Deceiver

1610,Truth or Consequences

1618,King of New York

1638,Normal Life

1647,Oniichan no hanabi

1669,MURDER and murder


