32,Crumb

48,Hoop Dreams

75,Brother Minister: The Assassination of Malcolm X

115,The Haunted World of Edward D. Wood Jr.

119,Maya Lin: A Strong Clear Vision

320,Paradise Lost: The Child Murders at Robin Hood Hills

360,Wonderland

634,Microcosmos

644,The Thin Blue Line

645,Paris Is Burning

677,Fire on the Mountain

701,It's a Wonderful Life

757,Across the Sea of Time

766,Man of the Year

811,Thirty Two Short Films About Glenn Gould

813,The Celluloid Closet

814,A Great Day in Harlem

847,Looking for Richard

850,A Perfect Candidate

857,Paris Was a Woman

884,Year of the Horse

954,Unzipped

973,Grateful Dead

1022,Fast & Furious 6

1065,Koyaanisqatsi

1084,Anne Frank Remembered

1128,Heidi Fleiss: Hollywood Madam

1130,Jupiter's Wife

1141,War Room

1142,When We Were Kings

1184,The Endless Summer 2

1201,Marlene Dietrich: Shadow and Light

1232,Madonna: Truth or Dare

1294,Ayn Rand: A Sense of Life

1307,Carmen Miranda: Bananas Is My Business

1318,Catwalk

1331,The Last Klezmer: Leopold Kozlowski His Life and Music

1363,The Leopard Son

1366,JLG/JLG: Self-Portrait in December

1378,Rhyme & Reason

1482,Gate of Heavenly Peace

1497,The Line King: The Al Hirschfeld Story

1547,The Truman Show

1561,Tigrero: A Film That Was Never Made

1562,L'oeil de Vichy

1585,American Dream

1594,Everest

1629,Nico Icon

1641,Dadetown

1649,Big One


