14,Il Postino: The Postman

16,French Twist

20,Angels and Insects

33,Desperado

36,Mad Love

49,I.Q.

50,Star Wars

51,Legends of the Fall

55,Léon: The Professional

66,While You Were Sleeping

68,Crow

69,Forrest Gump

70,Four Weddings and a Funeral

81,The Hudsucker Proxy

83,Much Ado About Nothing

88,Sleepless in Seattle

90,So I Married an Axe Murderer

92,True Romance

111,The Truth About Cats & Dogs

125,Phenomenon

129,Bound

131,Breakfast at Tiffany's

133,Gone with the Wind

155,Dirty Dancing

161,Top Gun

170,Cinema Paradiso

172,Star Wars: Episode V - The Empire Strikes Back

173,The Princess Bride

181,Return of the Jedi

185,Psycho

197,The Graduate

202,Groundhog Day

207,Cyrano de Bergerac

213,Room with a View

216,When Harry Met Sally...

217,Bram Stoker's Dracula

220,The Mirror Has Two Faces

237,Jerry Maguire

241,Last of the Mohicans

246,Chasing Amy

253,The Pillow Book

255,My Best Friend's Wedding

256,When the Cat's Away

268,Chasing Amy

274,Sabrina

275,Sense and Sensibility

276,Leaving Las Vegas

278,Bed of Roses

280,Killer Whales: Up Close and Personal

283,Emma

284,Tin Cup

286,The English Patient

306,Mrs. Brown's Boys

311,The Wings of the Dove

313,Titanic

319,Everyone Says I Love You

328,Conspiracy Theory

354,The Wedding Singer

371,The Bridges of Madison County

381,Muriel's Wedding

385,True Lies

394,Radioland Murders

402,Ghost

411,The Nutty Professor

421,Romeo and Juliet

451,Grease

462,Como agua para chocolate

465,Jungle Book

478,Philadelphia Story

483,Casablanca

485,My Fair Lady

486,Sabrina

487,Roman Holiday

489,Notorious

490,To Catch a Thief

498,African Queen

512,Wings of Desire

514,Annie Hall

517,Manhattan

531,Shine

532,Kama Sutra: A Tale of Love

535,Addicted to Love

542,Pocahontas

544,Things to Do in Denver When You're Dead

545,Vampire in Brooklyn

549,Rob Roy

553,Walk in the Clouds

560,A Kid in King Arthur's Court

568,Speed

574,Boxing Helena

580,The Englishman Who Went Up a Hill But Came Down a Mountain

582,The Piano

594,Heavy

602,American in Paris

607,Rebecca

608,Spellbound

631,The Crying Game

643,The Innocent

648,The Quiet Man

662,Somewhere in Time

692,The American President

694,Persuasion

702,Barcelona

704,House of the Spirits

705,Singin' in the Rain

709,Strictly Ballroom

714,Carrington

716,Home for the Holidays

720,First Knight

724,Circle of Friends

727,Immortal Beloved

730,Queen Margot

731,Corrina Corrina

732,Dave

733,Go Fish

736,Shadowlands

738,Threesome

739,Pretty Woman

740,Jane Eyre

747,Benny & Joon

748,Saint

749,Matchmaker

751,Tomorrow Never Dies

764,If Lucy Fell

765,Boomerang

775,Something to Talk About

778,Don Juan DeMarco

781,French Kiss

783,Milk Money

785,Only You

786,The Perez Family

794,It Could Happen to You

796,Speechless

815,One Fine Day

821,Mrs. Winterbourne

835,The Gay Divorcee

836,Ninotchka

846,To Gillian on Her 37th Birthday

849,Days of Thunder

855,Diva

866,Michael

869,Fools Rush In

870,Touch

872,Love Jones

873,Picture Perfect

875,She's So Lovely

877,Excess Baggage

886,A Life Less Ordinary

889,The Tango Lesson

903,Afterglow

905,Great Expectations

906,Oscar

918,City of Angels

921,Farewell My Concubine

936,Brassed Off

938,A Smile Like Yours

945,Charade

947,Big Blue

948,Booty Call

949,How to Make an American Quilt

955,Before Sunrise

966,An Affair to Remember

988,The Beautician and the Beast

